deliveryDate,hourEnding,repeatedHourFlag,settlementPointName,settlementPointPrice
2025-05-30,17,N,HB_NORTH,40.0
2025-05-30,17,N,HB_HUBAVG,45.51
2025-05-30,17,N,HB_HOUSTON,46.77
2025-05-30,17,N,HB_BUSAVG,44.09
2025-05-30,16,N,LZ_WEST,42.18
2025-05-30,16,N,LZ_SOUTH,53.1
2025-05-30,16,N,LZ_RAYBN,38.18
2025-05-30,16,N,LZ_NORTH,38.06
2025-05-30,16,N,LZ_LCRA,55.69
2025-05-30,16,N,LZ_HOUSTON,47.51
2025-05-30,16,N,LZ_CPS,51.6
2025-05-30,16,N,LZ_AEN,58.22
2025-05-30,16,N,HB_WEST,40.2
2025-05-30,16,N,HB_SOUTH,49.81
2025-05-30,16,N,HB_PAN,38.0
2025-05-30,16,N,HB_NORTH,37.93
2025-05-30,16,N,HB_HUBAVG,43.61
2025-05-30,16,N,HB_HOUSTON,46.51
2025-05-30,16,N,HB_BUSAVG,42.06
2025-05-30,15,N,LZ_WEST,37.85
2025-05-30,15,N,LZ_SOUTH,45.86
2025-05-30,15,N,LZ_RAYBN,34.96
2025-05-30,15,N,LZ_NORTH,34.73
2025-05-30,15,N,LZ_LCRA,47.96
2025-05-30,15,N,LZ_HOUSTON,44.63
2025-05-30,15,N,LZ_CPS,44.92
2025-05-30,15,N,LZ_AEN,49.76
2025-05-30,15,N,HB_WEST,36.25
2025-05-30,15,N,HB_SOUTH,43.66
2025-05-30,15,N,HB_PAN,34.55
2025-05-30,15,N,HB_NORTH,34.69
2025-05-30,15,N,HB_HUBAVG,39.66
2025-05-30,15,N,HB_HOUSTON,44.04
2025-05-30,15,N,HB_BUSAVG,38.2
2025-05-30,14,N,LZ_WEST,34.52
2025-05-30,14,N,LZ_SOUTH,43.59
2025-05-30,14,N,LZ_RAYBN,31.46
2025-05-30,14,N,LZ_NORTH,31.3
2025-05-30,14,N,LZ_LCRA,46.73
2025-05-30,14,N,LZ_HOUSTON,43.35
2025-05-30,14,N,LZ_CPS,42.33
2025-05-30,14,N,LZ_AEN,48.77
2025-05-30,14,N,HB_WEST,32.91
2025-05-30,14,N,HB_SOUTH,41.68
2025-05-30,14,N,HB_PAN,31.27
2025-05-30,14,N,HB_NORTH,31.13
2025-05-30,14,N,HB_HUBAVG,37.13
2025-05-30,14,N,HB_HOUSTON,42.81
2025-05-30,14,N,HB_BUSAVG,35.38
2025-05-30,13,N,LZ_WEST,34.04
2025-05-30,13,N,LZ_SOUTH,38.61
2025-05-30,13,N,LZ_RAYBN,30.82
2025-05-30,13,N,LZ_NORTH,30.71
2025-05-30,13,N,LZ_LCRA,40.59
2025-05-30,13,N,LZ_HOUSTON,38.59
2025-05-30,13,N,LZ_CPS,37.74
2025-05-30,13,N,LZ_AEN,41.88
2025-05-30,13,N,HB_WEST,32.21
2025-05-30,13,N,HB_SOUTH,37.35
2025-05-30,13,N,HB_PAN,30.41
2025-05-30,13,N,HB_NORTH,30.6
2025-05-30,13,N,HB_HUBAVG,34.6
