deliveryStart,deliveryEnd,deliveryDate,timeEnding,demand,dstFlag
2025-05-30T00:00:00-05:00,2025-05-30T00:15:00-05:00,2025-05-30,00:15,54194.2878,N
2025-05-29T23:45:00-05:00,2025-05-30T00:00:00-05:00,2025-05-30,00:00,55133.4688,N
2025-05-29T23:30:00-05:00,2025-05-29T23:45:00-05:00,2025-05-29,23:45,56203.0299,N
2025-05-29T23:15:00-05:00,2025-05-29T23:30:00-05:00,2025-05-29,23:30,57243.9336,N
2025-05-29T23:00:00-05:00,2025-05-29T23:15:00-05:00,2025-05-29,23:15,58744.7005,N
2025-05-29T22:45:00-05:00,2025-05-29T23:00:00-05:00,2025-05-29,23:00,59116.0286,N
2025-05-29T22:30:00-05:00,2025-05-29T22:45:00-05:00,2025-05-29,22:45,59964.6602,N
2025-05-29T22:15:00-05:00,2025-05-29T22:30:00-05:00,2025-05-29,22:30,60712.0313,N
2025-05-29T22:00:00-05:00,2025-05-29T22:15:00-05:00,2025-05-29,22:15,61393.9492,N
2025-05-29T21:45:00-05:00,2025-05-29T22:00:00-05:00,2025-05-29,22:00,62460.3333,N
2025-05-29T21:30:00-05:00,2025-05-29T21:45:00-05:00,2025-05-29,21:45,63158.4766,N
2025-05-29T21:15:00-05:00,2025-05-29T21:30:00-05:00,2025-05-29,21:30,63836.8594,N
2025-05-29T21:00:00-05:00,2025-05-29T21:15:00-05:00,2025-05-29,21:15,64585.2344,N
2025-05-29T20:45:00-05:00,2025-05-29T21:00:00-05:00,2025-05-29,21:00,65191.2409,N
2025-05-29T20:30:00-05:00,2025-05-29T20:45:00-05:00,2025-05-29,20:45,65465.0456,N
2025-05-29T20:15:00-05:00,2025-05-29T20:30:00-05:00,2025-05-29,20:30,65922.6901,N
2025-05-29T20:00:00-05:00,2025-05-29T20:15:00-05:00,2025-05-29,20:15,66377.7708,N
2025-05-29T19:45:00-05:00,2025-05-29T20:00:00-05:00,2025-05-29,20:00,67176.8073,N
2025-05-29T19:30:00-05:00,2025-05-29T19:45:00-05:00,2025-05-29,19:45,67760.763,N
2025-05-29T19:15:00-05:00,2025-05-29T19:30:00-05:00,2025-05-29,19:30,68455.9974,N
2025-05-29T19:00:00-05:00,2025-05-29T19:15:00-05:00,2025-05-29,19:15,69593.013,N
2025-05-29T18:45:00-05:00,2025-05-29T19:00:00-05:00,2025-05-29,19:00,70199.4063,N
2025-05-29T18:30:00-05:00,2025-05-29T18:45:00-05:00,2025-05-29,18:45,70802.1823,N
2025-05-29T18:15:00-05:00,2025-05-29T18:30:00-05:00,2025-05-29,18:30,71388.4167,N
2025-05-29T18:00:00-05:00,2025-05-29T18:15:00-05:00,2025-05-29,18:15,71560.4974,N
2025-05-29T17:45:00-05:00,2025-05-29T18:00:00-05:00,2025-05-29,18:00,72473.2865,N
2025-05-29T17:30:00-05:00,2025-05-29T17:45:00-05:00,2025-05-29,17:45,72705.6589,N
2025-05-29T17:15:00-05:00,2025-05-29T17:30:00-05:00,2025-05-29,17:30,72609.2552,N
2025-05-29T17:00:00-05:00,2025-05-29T17:15:00-05:00,2025-05-29,17:15,72924.0833,N
2025-05-29T16:45:00-05:00,2025-05-29T17:00:00-05:00,2025-05-29,17:00,73328.5911,N
2025-05-29T16:30:00-05:00,2025-05-29T16:45:00-05:00,2025-05-29,16:45,73066.7682,N
2025-05-29T16:15:00-05:00,2025-05-29T16:30:00-05:00,2025-05-29,16:30,72542.0677,N
2025-05-29T16:00:00-05:00,2025-05-29T16:15:00-05:00,2025-05-29,16:15,71993.099,N
2025-05-29T15:45:00-05:00,2025-05-29T16:00:00-05:00,2025-05-29,16:00,71447.0729,N
2025-05-29T15:30:00-05:00,2025-05-29T15:45:00-05:00,2025-05-29,15:45,70942.8984,N
2025-05-29T15:15:00-05:00,2025-05-29T15:30:00-05:00,2025-05-29,15:30,70334.151,N
2025-05-29T15:00:00-05:00,2025-05-29T15:15:00-05:00,2025-05-29,15:15,69697.6849,N
2025-05-29T14:45:00-05:00,2025-05-29T15:00:00-05:00,2025-05-29,15:00,69300.8568,N
2025-05-29T14:30:00-05:00,2025-05-29T14:45:00-05:00,2025-05-29,14:45,68908.6354,N
2025-05-29T14:15:00-05:00,2025-05-29T14:30:00-05:00,2025-05-29,14:30,68051.3672,N
2025-05-29T14:00:00-05:00,2025-05-29T14:15:00-05:00,2025-05-29,14:15,67245.1745,N
2025-05-29T13:45:00-05:00,2025-05-29T14:00:00-05:00,2025-05-29,14:00,66754.9193,N
2025-05-29T13:30:00-05:00,2025-05-29T13:45:00-05:00,2025-05-29,13:45,65731.4974,N
2025-05-29T13:15:00-05:00,2025-05-29T13:30:00-05:00,2025-05-29,13:30,65094.1211,N
2025-05-29T13:00:00-05:00,2025-05-29T13:15:00-05:00,2025-05-29,13:15,64477.6068,N
2025-05-29T12:45:00-05:00,2025-05-29T13:00:00-05:00,2025-05-29,13:00,63677.2682,N
2025-05-29T12:30:00-05:00,2025-05-29T12:45:00-05:00,2025-05-29,12:45,63076.2422,N
2025-05-29T12:15:00-05:00,2025-05-29T12:30:00-05:00,2025-05-29,12:30,62483.3151,N
2025-05-29T12:00:00-05:00,2025-05-29T12:15:00-05:00,2025-05-29,12:15,61638.4505,N
2025-05-29T11:45:00-05:00,2025-05-29T12:00:00-05:00,2025-05-29,12:00,61400.4466,N
2025-05-29T11:30:00-05:00,2025-05-29T11:45:00-05:00,2025-05-29,11:45,61604.4049,N
2025-05-29T11:15:00-05:00,2025-05-29T11:30:00-05:00,2025-05-29,11:30,60648.4961,N
2025-05-29T11:00:00-05:00,2025-05-29T11:15:00-05:00,2025-05-29,11:15,59274.5521,N
2025-05-29T10:45:00-05:00,2025-05-29T11:00:00-05:00,2025-05-29,11:00,57956.1315,N
2025-05-29T10:30:00-05:00,2025-05-29T10:45:00-05:00,2025-05-29,10:45,56973.3451,N
2025-05-29T10:15:00-05:00,2025-05-29T10:30:00-05:00,2025-05-29,10:30,56533.7109,N
2025-05-29T10:00:00-05:00,2025-05-29T10:15:00-05:00,2025-05-29,10:15,56046.9427,N
2025-05-29T09:45:00-05:00,2025-05-29T10:00:00-05:00,2025-05-29,10:00,55445.4714,N
2025-05-29T09:30:00-05:00,2025-05-29T09:45:00-05:00,2025-05-29,09:45,54534.0052,N
2025-05-29T09:15:00-05:00,2025-05-29T09:30:00-05:00,2025-05-29,09:30,54011.2695,N
2025-05-29T09:00:00-05:00,2025-05-29T09:15:00-05:00,2025-05-29,09:15,53368.6706,N
2025-05-29T08:45:00-05:00,2025-05-29T09:00:00-05:00,2025-05-29,09:00,52690.7539,N
2025-05-29T08:30:00-05:00,2025-05-29T08:45:00-05:00,2025-05-29,08:45,52360.2396,N
2025-05-29T08:15:00-05:00,2025-05-29T08:30:00-05:00,2025-05-29,08:30,52009.9284,N
2025-05-29T08:00:00-05:00,2025-05-29T08:15:00-05:00,2025-05-29,08:15,51129.2552,N
2025-05-29T07:45:00-05:00,2025-05-29T08:00:00-05:00,2025-05-29,08:00,50046.5,N
2025-05-29T07:30:00-05:00,2025-05-29T07:45:00-05:00,2025-05-29,07:45,49573.5911,N
2025-05-29T07:15:00-05:00,2025-05-29T07:30:00-05:00,2025-05-29,07:30,49058.3737,N
2025-05-29T07:00:00-05:00,2025-05-29T07:15:00-05:00,2025-05-29,07:15,48651.9323,N
2025-05-29T06:45:00-05:00,2025-05-29T07:00:00-05:00,2025-05-29,07:00,48131.599,N
2025-05-29T06:30:00-05:00,2025-05-29T06:45:00-05:00,2025-05-29,06:45,48002.8815,N
